Country,Freedom2015,Freedom2016,Freedom2017,Freedom2018,Freedom2019,GDP2015,GDP2016,GDP2017,GDP2018,GDP2019,Generosity2015,Generosity2016,Generosity2017,Generosity2018,Generosity2019,Government_Corruption2015,Government_Corruption2016,Government_Corruption2017,Government_Corruption2018,Government_Corruption2019,Happiness_Score2015,Happiness_Score2016,Happiness_Score2017,Happiness_Score2018,Happiness_Score2019,Life_Expectancy2015,Life_Expectancy2016,Life_Expectancy2017,Life_Expectancy2018,Life_Expectancy2019,Social_Support2015,Social_Support2016,Social_Support2017,Social_Support2018,Social_Support2019,Happiness2015,Happiness2016,Happiness2017,Happiness2018,Happiness2019
Azerbaijan,0.398155838,0.43,0.351,0.45492,0.47375,1.153601766,1.024,1.043,1.32376,1.44024,0.04526934,0.031,0.035,0.17362,0.17147,0.180987507,0.176,0.182,0.306,0.25772,5.234000206,5.201,5.208,5.96,6.218,0.540775776,0.603,0.769,0.74716,0.65696,1.152400255,1.161,1.147,1.21624,0.94397,Happy,Happy,Happy,Happy,Happy
Azerbaijan,0.43,0.351,0.45492,0.47375,0.536746919,1.024,1.043,1.32376,1.44024,1.488412261,0.031,0.035,0.17362,0.17147,0.172668487,0.176,0.182,0.306,0.25772,0.25704217,5.201,5.208,5.96,6.218,6.086999893,0.603,0.769,0.74716,0.65696,0.653133035,1.161,1.147,1.21624,0.94397,1.323110461,Happy,Happy,Happy,Happy,Happy
Azerbaijan,0.351,0.45492,0.47375,0.536746919,0.594,1.043,1.32376,1.44024,1.488412261,1.338,0.035,0.17362,0.17147,0.172668487,0.243,0.182,0.306,0.25772,0.25704217,0.123,5.208,5.96,6.218,6.086999893,6.105,0.769,0.74716,0.65696,0.653133035,0.698,1.147,1.21624,0.94397,1.323110461,1.366,Happy,Happy,Happy,Happy,Happy
Bahrain,0.45492,0.47375,0.536746919,0.594,0.536,1.32376,1.44024,1.488412261,1.338,1.362,0.17362,0.17147,0.172668487,0.243,0.255,0.306,0.25772,0.25704217,0.123,0.11,5.96,6.218,6.086999893,6.105,6.199,0.74716,0.65696,0.653133035,0.698,0.871,1.21624,0.94397,1.323110461,1.366,1.368,Happy,Happy,Happy,Happy,Happy
Bahrain,0.47375,0.536746919,0.594,0.536,0.4082,1.44024,1.488412261,1.338,1.362,0.39753,0.17147,0.172668487,0.243,0.255,0.21222,0.25772,0.25704217,0.123,0.11,0.12569,6.218,6.086999893,6.105,6.199,4.694,0.65696,0.653133035,0.698,0.871,0.60164,0.94397,1.323110461,1.366,1.368,0.43106,Happy,Happy,Happy,Happy,Happy
Bahrain,0.536746919,0.594,0.536,0.4082,0.39778,1.488412261,1.338,1.362,0.39753,0.54177,0.172668487,0.243,0.255,0.21222,0.19132,0.25704217,0.123,0.11,0.12569,0.12583,6.086999893,6.105,6.199,4.694,4.643,0.653133035,0.698,0.871,0.60164,0.52989,1.323110461,1.366,1.368,0.43106,0.24749,Happy,Happy,Happy,Happy,Happy
Bahrain,0.594,0.536,0.4082,0.39778,0.478356659,1.338,1.362,0.39753,0.54177,0.586682975,0.243,0.255,0.21222,0.19132,0.172255352,0.123,0.11,0.12569,0.12583,0.123717859,6.105,6.199,4.694,4.643,4.607999802,0.698,0.871,0.60164,0.52989,0.533241034,1.366,1.368,0.43106,0.24749,0.735131741,Happy,Happy,Happy,Happy,Happy
Bahrain,0.536,0.4082,0.39778,0.478356659,0.58,1.362,0.39753,0.54177,0.586682975,0.532,0.255,0.21222,0.19132,0.172255352,0.153,0.11,0.12569,0.12583,0.123717859,0.144,6.199,4.694,4.643,4.607999802,4.5,0.871,0.60164,0.52989,0.533241034,0.579,1.368,0.43106,0.24749,0.735131741,0.85,Happy,Happy,Happy,Happy,Happy
Bangladesh,0.4082,0.39778,0.478356659,0.58,0.527,0.39753,0.54177,0.586682975,0.532,0.562,0.21222,0.19132,0.172255352,0.153,0.166,0.12569,0.12583,0.123717859,0.144,0.143,4.694,4.643,4.607999802,4.5,4.456,0.60164,0.52989,0.533241034,0.579,0.723,0.43106,0.24749,0.735131741,0.85,0.928,Happy,Happy,Happy,Happy,Happy
Bangladesh,0.39778,0.478356659,0.58,0.527,0.37938,0.54177,0.586682975,0.532,0.562,1.03192,0.19132,0.172255352,0.153,0.166,0.11046,0.12583,0.123717859,0.144,0.143,0.1909,4.643,4.607999802,4.5,4.456,5.813,0.52989,0.533241034,0.579,0.723,0.73608,0.24749,0.735131741,0.85,0.928,1.23289,Happy,Happy,Happy,Happy,Happy
