Country,Freedom,GDP,Generosity,Government_Corruption,Happiness_Score,Life_Expectancy,Social_Support,Year,Happiness
Sierra Leone,0.355,0.256,0.238,0.053,4.571,0,0.813,2018,Happy
Congo (Brazzaville),0.514,0.682,0.091,0.077,4.559,0.343,0.811,2018,Happy
Bangladesh,0.58,0.532,0.153,0.144,4.5,0.579,0.85,2018,Happy
Sri Lanka,0.585,0.918,0.307,0.05,4.471,0.672,1.314,2018,Happy
Iraq,0.304,1.01,0.148,0.095,4.456,0.536,0.971,2018,Happy
Mali,0.367,0.37,0.139,0.056,4.447,0.152,1.233,2018,Happy
Namibia,0.519,0.874,0.051,0.064,4.441,0.365,1.281,2018,Happy
Cambodia,0.696,0.549,0.256,0.065,4.433,0.457,1.088,2018,Happy
Burkina Faso,0.312,0.314,0.175,0.128,4.424,0.254,1.097,2018,Happy
Egypt,0.312,0.885,0.092,0.107,4.419,0.553,1.025,2018,Happy
Mozambique,0.531,0.198,0.206,0.158,4.417,0.173,0.902,2018,Happy
Kenya,0.504,0.493,0.352,0.055,4.41,0.454,1.048,2018,Happy
Zambia,0.503,0.562,0.221,0.082,4.377,0.295,1.047,2018,Happy
Mauritania,0.129,0.557,0.134,0.093,4.356,0.292,1.245,2018,Happy
Ethiopia,0.452,0.308,0.22,0.146,4.35,0.391,0.95,2018,Happy
Georgia,0.375,0.853,0.038,0.215,4.34,0.643,0.592,2018,Happy
Armenia,0.26,0.816,0.077,0.028,4.321,0.666,0.99,2018,Happy
Myanmar,0.58,0.682,0.598,0.178,4.308,0.429,1.174,2018,Happy
Chad,0.189,0.358,0.181,0.06,4.301,0.053,0.907,2018,Happy
Congo (Kinshasa),0.312,0.069,0.197,0.052,4.245,0.204,1.136,2018,Happy
India,0.539,0.721,0.172,0.093,4.19,0.485,0.747,2018,Happy
Niger,0.39,0.131,0.175,0.099,4.166,0.221,0.867,2018,Happy
Uganda,0.45,0.322,0.259,0.061,4.161,0.237,1.09,2018,Happy
Benin,0.44,0.378,0.163,0.067,4.141,0.24,0.372,2018,Happy
Sudan,0.016,0.605,0.134,0.082,4.139,0.312,1.24,2018,Happy
Ukraine,0.163,0.793,0.187,0.011,4.103,0.609,1.413,2018,Happy
Togo,0.434,0.259,0.158,0.101,3.999,0.253,0.474,2018,NotHappy
Guinea,0.394,0.344,0.185,0.094,3.964,0.211,0.792,2018,NotHappy
Lesotho,0.423,0.472,0.116,0.112,3.808,0.079,1.215,2018,NotHappy
Angola,0,0.73,0.079,0.061,3.795,0.269,1.125,2018,NotHappy
Madagascar,0.221,0.262,0.155,0.049,3.774,0.402,0.908,2018,NotHappy
Zimbabwe,0.406,0.357,0.132,0.099,3.692,0.248,1.094,2018,NotHappy
Afghanistan,0.085,0.332,0.191,0.036,3.632,0.255,0.537,2018,NotHappy
Botswana,0.557,1.017,0.042,0.092,3.59,0.417,1.174,2018,NotHappy
Malawi,0.531,0.186,0.21,0.08,3.587,0.306,0.541,2018,NotHappy
Haiti,0.025,0.315,0.392,0.104,3.582,0.289,0.714,2018,NotHappy
Liberia,0.419,0.076,0.206,0.03,3.495,0.267,0.858,2018,NotHappy
Syria,0.088,0.689,0.376,0.144,3.462,0.539,0.382,2018,NotHappy
Rwanda,0.636,0.332,0.2,0.444,3.408,0.4,0.896,2018,NotHappy
Yemen,0.244,0.442,0.083,0.064,3.355,0.343,1.073,2018,NotHappy
Tanzania,0.481,0.455,0.27,0.097,3.303,0.381,0.991,2018,NotHappy
South Sudan,0.112,0.337,0.224,0.106,3.254,0.177,0.608,2018,NotHappy
Central African Republic,0.305,0.024,0.218,0.038,3.083,0.01,0,2018,NotHappy
Burundi,0.065,0.091,0.149,0.076,2.905,0.145,0.627,2018,NotHappy
Finland,0.596,1.34,0.153,0.393,7.769,0.986,1.587,2019,Happy
Denmark,0.592,1.383,0.252,0.41,7.6,0.996,1.573,2019,Happy
Norway,0.603,1.488,0.271,0.341,7.554,1.028,1.582,2019,Happy
Iceland,0.591,1.38,0.354,0.118,7.494,1.026,1.624,2019,Happy
Netherlands,0.557,1.396,0.322,0.298,7.488,0.999,1.522,2019,Happy
Switzerland,0.572,1.452,0.263,0.343,7.48,1.052,1.526,2019,Happy
Sweden,0.574,1.387,0.267,0.373,7.343,1.009,1.487,2019,Happy
New Zealand,0.585,1.303,0.33,0.38,7.307,1.026,1.557,2019,Happy
Canada,0.584,1.365,0.285,0.308,7.278,1.039,1.505,2019,Happy
Austria,0.532,1.376,0.244,0.226,7.246,1.016,1.475,2019,Happy
Australia,0.557,1.372,0.332,0.29,7.228,1.036,1.548,2019,Happy
Costa Rica,0.558,1.034,0.144,0.093,7.167,0.963,1.441,2019,Happy
Israel,0.371,1.276,0.261,0.082,7.139,1.029,1.455,2019,Happy
Luxembourg,0.526,1.609,0.194,0.316,7.09,1.012,1.479,2019,Happy
United Kingdom,0.45,1.333,0.348,0.278,7.054,0.996,1.538,2019,Happy
Ireland,0.516,1.499,0.298,0.31,7.021,0.999,1.553,2019,Happy
Germany,0.495,1.373,0.261,0.265,6.985,0.987,1.454,2019,Happy
Belgium,0.473,1.356,0.16,0.21,6.923,0.986,1.504,2019,Happy
United States,0.454,1.433,0.28,0.128,6.892,0.874,1.457,2019,Happy
Czech Republic,0.457,1.269,0.046,0.036,6.852,0.92,1.487,2019,Happy
United Arab Emirates,0.598,1.503,0.262,0.182,6.825,0.825,1.31,2019,Happy
Malta,0.564,1.3,0.375,0.151,6.726,0.999,1.52,2019,Happy
Mexico,0.433,1.07,0.074,0.073,6.595,0.861,1.323,2019,Happy
France,0.436,1.324,0.111,0.183,6.592,1.045,1.472,2019,Happy
Taiwan,0.351,1.368,0.242,0.097,6.446,0.914,1.43,2019,Happy
Chile,0.357,1.159,0.187,0.056,6.444,0.92,1.369,2019,Happy
Guatemala,0.535,0.8,0.175,0.078,6.436,0.746,1.269,2019,Happy
Saudi Arabia,0.439,1.403,0.08,0.132,6.375,0.795,1.357,2019,Happy
Qatar,0.555,1.684,0.22,0.167,6.374,0.871,1.313,2019,Happy
Spain,0.362,1.286,0.153,0.079,6.354,1.062,1.484,2019,Happy
Panama,0.516,1.149,0.109,0.054,6.321,0.91,1.442,2019,Happy
Brazil,0.39,1.004,0.099,0.086,6.3,0.802,1.439,2019,Happy
Uruguay,0.523,1.124,0.127,0.15,6.293,0.891,1.465,2019,Happy
Singapore,0.556,1.572,0.271,0.453,6.262,1.141,1.463,2019,Happy
El Salvador,0.43,0.794,0.093,0.074,6.253,0.789,1.242,2019,Happy
Italy,0.231,1.294,0.158,0.03,6.223,1.039,1.488,2019,Happy
Bahrain,0.536,1.362,0.255,0.11,6.199,0.871,1.368,2019,Happy
Slovakia,0.334,1.246,0.121,0.014,6.198,0.881,1.504,2019,Happy
Trinidad & Tobago,0.489,1.231,0.185,0.016,6.192,0.713,1.477,2019,Happy
Poland,0.483,1.206,0.117,0.05,6.182,0.884,1.438,2019,Happy
Uzbekistan,0.631,0.745,0.322,0.24,6.174,0.756,1.529,2019,Happy
Lithuania,0.291,1.238,0.043,0.042,6.149,0.818,1.515,2019,Happy
Colombia,0.47,0.985,0.099,0.034,6.125,0.841,1.41,2019,Happy
Slovenia,0.564,1.258,0.144,0.057,6.118,0.953,1.523,2019,Happy
Nicaragua,0.435,0.694,0.2,0.127,6.105,0.835,1.325,2019,Happy
Kosovo,0.489,0.882,0.262,0.006,6.1,0.758,1.232,2019,Happy
Argentina,0.471,1.092,0.066,0.05,6.086,0.881,1.432,2019,Happy
Romania,0.462,1.162,0.083,0.005,6.07,0.825,1.232,2019,Happy
Cyprus,0.406,1.263,0.19,0.041,6.046,1.042,1.223,2019,Happy
Ecuador,0.498,0.912,0.126,0.087,6.028,0.868,1.312,2019,Happy
Kuwait,0.493,1.5,0.142,0.097,6.021,0.808,1.319,2019,Happy
Thailand,0.557,1.05,0.359,0.028,6.008,0.828,1.409,2019,Happy
Latvia,0.264,1.187,0.075,0.064,5.94,0.812,1.465,2019,Happy
South Korea,0.159,1.301,0.175,0.056,5.895,1.036,1.219,2019,Happy
Estonia,0.495,1.237,0.103,0.161,5.893,0.874,1.528,2019,Happy
Jamaica,0.49,0.831,0.107,0.028,5.89,0.831,1.478,2019,Happy
Mauritius,0.498,1.12,0.215,0.06,5.888,0.798,1.402,2019,Happy
Japan,0.445,1.327,0.069,0.14,5.886,1.088,1.419,2019,Happy
Honduras,0.507,0.642,0.246,0.078,5.86,0.828,1.236,2019,Happy
Kazakhstan,0.41,1.173,0.146,0.096,5.809,0.729,1.508,2019,Happy
Bolivia,0.511,0.776,0.137,0.064,5.779,0.706,1.209,2019,Happy
Hungary,0.199,1.201,0.081,0.02,5.758,0.828,1.41,2019,Happy
Paraguay,0.514,0.855,0.184,0.08,5.743,0.777,1.475,2019,Happy
Northern Cyprus,0.417,1.263,0.191,0.162,5.718,1.042,1.252,2019,Happy
Peru,0.455,0.96,0.083,0.027,5.697,0.854,1.274,2019,Happy
Portugal,0.508,1.221,0.047,0.025,5.693,0.999,1.431,2019,Happy
Pakistan,0.313,0.677,0.22,0.098,5.653,0.535,0.886,2019,Happy
Russia,0.334,1.183,0.082,0.031,5.648,0.726,1.452,2019,Happy
Philippines,0.558,0.807,0.117,0.107,5.631,0.657,1.293,2019,Happy
Serbia,0.282,1.004,0.137,0.039,5.603,0.854,1.383,2019,Happy
Moldova,0.245,0.685,0.181,0,5.529,0.739,1.328,2019,Happy
Libya,0.416,1.044,0.133,0.152,5.525,0.673,1.303,2019,Happy
Montenegro,0.197,1.051,0.142,0.08,5.523,0.871,1.361,2019,Happy
Tajikistan,0.389,0.493,0.23,0.144,5.467,0.718,1.098,2019,Happy
Croatia,0.296,1.155,0.119,0.022,5.432,0.914,1.266,2019,Happy
Hong Kong,0.44,1.438,0.258,0.287,5.43,1.122,1.277,2019,Happy
Dominican Republic,0.497,1.015,0.113,0.101,5.425,0.779,1.401,2019,Happy
Bosnia and Herzegovina,0.212,0.945,0.263,0.006,5.386,0.845,1.212,2019,Happy
Turkey,0.195,1.183,0.083,0.106,5.373,0.808,1.36,2019,Happy
Malaysia,0.508,1.221,0.26,0.024,5.339,0.828,1.171,2019,Happy
Belarus,0.235,1.067,0.094,0.142,5.323,0.789,1.465,2019,Happy
Greece,0.067,1.181,0,0.034,5.287,0.999,1.156,2019,Happy
Mongolia,0.317,0.948,0.235,0.038,5.285,0.667,1.531,2019,Happy
North Macedonia,0.345,0.983,0.185,0.034,5.274,0.838,1.294,2019,Happy
Nigeria,0.426,0.696,0.215,0.041,5.265,0.245,1.111,2019,Happy
Kyrgyzstan,0.508,0.551,0.3,0.023,5.261,0.723,1.438,2019,Happy
Turkmenistan,0.394,1.052,0.244,0.028,5.247,0.657,1.538,2019,Happy
Algeria,0.086,1.002,0.073,0.114,5.211,0.785,1.16,2019,Happy
Morocco,0.418,0.801,0.036,0.076,5.208,0.782,0.782,2019,Happy
Azerbaijan,0.351,1.043,0.035,0.182,5.208,0.769,1.147,2019,Happy
Lebanon,0.216,0.987,0.166,0.027,5.197,0.815,1.224,2019,Happy
Indonesia,0.491,0.931,0.498,0.028,5.192,0.66,1.203,2019,Happy
China,0.521,1.029,0.058,0.1,5.191,0.893,1.125,2019,Happy
Vietnam,0.543,0.741,0.147,0.073,5.175,0.851,1.346,2019,Happy
Bhutan,0.457,0.813,0.37,0.167,5.082,0.604,1.321,2019,Happy
Cameroon,0.381,0.549,0.187,0.037,5.044,0.331,0.91,2019,Happy
Bulgaria,0.311,1.092,0.081,0.004,5.011,0.815,1.513,2019,Happy
Ghana,0.381,0.611,0.245,0.04,4.996,0.486,0.868,2019,Happy
Ivory Coast,0.352,0.569,0.154,0.09,4.944,0.232,0.808,2019,Happy
Nepal,0.439,0.446,0.285,0.089,4.913,0.677,1.226,2019,Happy
Jordan,0.383,0.837,0.11,0.13,4.906,0.815,1.225,2019,Happy
Benin,0.349,0.393,0.175,0.082,4.883,0.397,0.437,2019,Happy
Congo (Brazzaville),0.372,0.673,0.105,0.093,4.812,0.508,0.799,2019,Happy
Gabon,0.295,1.057,0.043,0.055,4.799,0.571,1.183,2019,Happy
Laos,0.547,0.764,0.266,0.164,4.796,0.551,1.03,2019,Happy
South Africa,0.389,0.96,0.13,0.055,4.722,0.469,1.351,2019,Happy
Albania,0.383,0.947,0.178,0.027,4.719,0.874,0.848,2019,Happy
Venezuela,0.154,0.96,0.064,0.047,4.707,0.805,1.427,2019,Happy
Cambodia,0.609,0.574,0.232,0.062,4.7,0.637,1.122,2019,Happy
Palestinian Territories,0.225,0.657,0.103,0.066,4.696,0.672,1.247,2019,Happy
Senegal,0.292,0.45,0.153,0.072,4.681,0.571,1.134,2019,Happy
Somalia,0.559,0,0.243,0.27,4.668,0.268,0.698,2019,Happy
Namibia,0.401,0.879,0.07,0.056,4.639,0.477,1.313,2019,Happy
Niger,0.318,0.138,0.188,0.102,4.628,0.366,0.774,2019,Happy
Burkina Faso,0.255,0.331,0.177,0.113,4.587,0.38,1.056,2019,Happy
Armenia,0.283,0.85,0.095,0.064,4.559,0.815,1.055,2019,Happy
Iran,0.305,1.1,0.27,0.125,4.548,0.785,0.842,2019,Happy
Guinea,0.332,0.38,0.207,0.086,4.534,0.375,0.829,2019,Happy
Georgia,0.346,0.886,0.043,0.164,4.519,0.752,0.666,2019,Happy
Gambia,0.382,0.308,0.269,0.167,4.516,0.428,0.939,2019,Happy
Kenya,0.431,0.512,0.372,0.053,4.509,0.581,0.983,2019,Happy
Mauritania,0.066,0.57,0.106,0.088,4.49,0.489,1.167,2019,Happy
Mozambique,0.494,0.204,0.197,0.138,4.466,0.39,0.986,2019,Happy
Tunisia,0.167,0.921,0.059,0.055,4.461,0.815,1,2019,Happy
Bangladesh,0.527,0.562,0.166,0.143,4.456,0.723,0.928,2019,Happy
Iraq,0.241,1.043,0.148,0.089,4.437,0.574,0.98,2019,Happy
Congo (Kinshasa),0.269,0.094,0.212,0.053,4.418,0.357,1.125,2019,Happy
Mali,0.327,0.385,0.153,0.052,4.39,0.308,1.105,2019,Happy
Sierra Leone,0.309,0.268,0.252,0.045,4.374,0.242,0.841,2019,Happy
Sri Lanka,0.47,0.949,0.244,0.047,4.366,0.831,1.265,2019,Happy
Myanmar,0.525,0.71,0.566,0.172,4.36,0.555,1.181,2019,Happy
Chad,0.174,0.35,0.198,0.078,4.35,0.192,0.766,2019,Happy
Ukraine,0.178,0.82,0.187,0.01,4.332,0.739,1.39,2019,Happy
Ethiopia,0.344,0.336,0.209,0.1,4.286,0.532,1.033,2019,Happy
Swaziland,0.313,0.811,0.074,0.135,4.212,0,1.149,2019,Happy
Uganda,0.356,0.332,0.252,0.06,4.189,0.443,1.069,2019,Happy
Egypt,0.241,0.913,0.076,0.067,4.166,0.644,1.039,2019,Happy
Zambia,0.431,0.578,0.247,0.087,4.107,0.426,1.058,2019,Happy
Togo,0.293,0.275,0.177,0.085,4.085,0.41,0.572,2019,Happy
India,0.498,0.755,0.2,0.085,4.015,0.588,0.765,2019,Happy
Liberia,0.37,0.073,0.233,0.033,3.975,0.443,0.922,2019,NotHappy
Comoros,0.142,0.274,0.275,0.078,3.973,0.505,0.757,2019,NotHappy
Madagascar,0.148,0.274,0.169,0.041,3.933,0.555,0.916,2019,NotHappy
Lesotho,0.359,0.489,0.107,0.093,3.802,0.168,1.169,2019,NotHappy
Burundi,0.22,0.046,0.176,0.18,3.775,0.38,0.447,2019,NotHappy
Zimbabwe,0.361,0.366,0.151,0.089,3.663,0.433,1.114,2019,NotHappy
Haiti,0.026,0.323,0.419,0.11,3.597,0.449,0.688,2019,NotHappy
Botswana,0.455,1.041,0.025,0.1,3.488,0.538,1.145,2019,NotHappy
Syria,0.013,0.619,0.331,0.141,3.462,0.44,0.378,2019,NotHappy
Malawi,0.443,0.191,0.218,0.089,3.41,0.495,0.56,2019,NotHappy
Yemen,0.143,0.287,0.108,0.077,3.38,0.463,1.163,2019,NotHappy
Rwanda,0.555,0.359,0.217,0.411,3.334,0.614,0.711,2019,NotHappy
Tanzania,0.417,0.476,0.276,0.147,3.231,0.499,0.885,2019,NotHappy
Afghanistan,0,0.35,0.158,0.025,3.203,0.361,0.517,2019,NotHappy
Central African Republic,0.225,0.026,0.235,0.035,3.083,0.105,0,2019,NotHappy
South Sudan,0.01,0.306,0.202,0.091,2.853,0.295,0.575,2019,NotHappy

