Country,Freedom,GDP,Generosity,Government_Corruption,Happiness_Score,Life_Expectancy,Social_Support,Year,Happiness
Colombia,0.44735,1.03032,0.15626,0.05399,6.481,0.59659,1.02169,2016,Happy
France,0.46562,1.39488,0.1216,0.17808,6.478,0.83795,1.00508,2016,Happy
Thailand,0.49553,1.0893,0.58696,0.02833,6.474,0.64915,1.04477,2016,Happy
Saudi Arabia,0.37904,1.48953,0.15457,0.30008,6.379,0.59267,0.84829,2016,Happy
Taiwan,0.32377,1.39729,0.25495,0.0663,6.379,0.79565,0.92624,2016,Happy
Qatar,0.56679,1.82427,0.32388,0.48049,6.375,0.71723,0.87964,2016,Happy
Spain,0.37545,1.34253,0.17665,0.06137,6.361,0.87896,1.12945,2016,Happy
Algeria,0.21006,1.05266,0.07044,0.16157,6.355,0.61804,0.83309,2016,Happy
Guatemala,0.50379,0.83454,0.28808,0.08701,6.324,0.54039,0.87119,2016,Happy
Suriname,0.52234,1.09686,0.16665,0.12692,6.269,0.50933,0.77866,2016,Happy
Kuwait,0.43166,1.61714,0.15965,0.23669,6.239,0.63569,0.87758,2016,Happy
Bahrain,0.47375,1.44024,0.17147,0.25772,6.218,0.65696,0.94397,2016,Happy
Trinidad and Tobago,0.48453,1.32572,0.31935,0.01241,6.168,0.52608,0.98569,2016,Happy
Venezuela,0.19847,1.13367,0.0425,0.08304,6.084,0.61904,1.03302,2016,Happy
Slovakia,0.23391,1.27973,0.13837,0.02947,6.078,0.70367,1.08268,2016,Happy
El Salvador,0.37269,0.8737,0.08877,0.10613,6.068,0.596,0.80975,2016,Happy
Malaysia,0.39031,1.25142,0.41474,0.09081,6.005,0.62366,0.88025,2016,Happy
Nicaragua,0.46582,0.69384,0.29773,0.16292,5.992,0.65213,0.89521,2016,Happy
Uzbekistan,0.60848,0.73591,0.34326,0.28333,5.987,0.50163,1.1681,2016,Happy
Italy,0.18827,1.35495,0.16684,0.02556,5.977,0.85102,1.04167,2016,Happy
Ecuador,0.4027,0.97306,0.10074,0.18037,5.976,0.68613,0.85974,2016,Happy
Belize,0.51231,0.87616,0.23684,0.10771,5.956,0.45569,0.68655,2016,Happy
Japan,0.46761,1.38007,0.10224,0.18985,5.921,0.91491,1.06054,2016,Happy
Kazakhstan,0.4052,1.22943,0.15011,0.11132,5.919,0.57386,0.95544,2016,Happy
Moldova,0.25202,0.69177,0.19997,0.01903,5.897,0.52309,0.83132,2016,Happy
Russia,0.32682,1.23228,0.02736,0.03586,5.856,0.58991,1.05261,2016,Happy
Poland,0.4519,1.24585,0.14443,0.055,5.835,0.69058,1.04685,2016,Happy
South Korea,0.25168,1.35948,0.18824,0.07716,5.835,0.88645,0.72194,2016,Happy
Bolivia,0.50961,0.79422,0.21698,0.07746,5.822,0.4697,0.83779,2016,Happy
Lithuania,0.18929,1.2692,0.02025,0.0182,5.813,0.64674,1.06411,2016,Happy
Belarus,0.29091,1.13062,0.13942,0.17457,5.802,0.63104,1.04993,2016,Happy
North Cyprus,0.43596,1.31141,0.26322,0.16578,5.771,0.84142,0.81826,2016,Happy
Slovenia,0.53164,1.29947,0.25738,0.03635,5.768,0.79151,1.05613,2016,Happy
Peru,0.37502,0.99602,0.14527,0.05292,5.743,0.62994,0.81255,2016,Happy
Turkmenistan,0.37408,1.08017,0.22567,0.28467,5.658,0.44006,1.03817,2016,Happy
Mauritius,0.46145,1.14372,0.36951,0.05203,5.648,0.66189,0.75695,2016,Happy
Libya,0.40672,1.06688,0.17087,0.10339,5.615,0.52304,0.95076,2016,Happy
Latvia,0.27996,1.21788,0.17445,0.0889,5.56,0.63952,0.95025,2016,Happy
Cyprus,0.29507,1.31857,0.27906,0.05228,5.546,0.8488,0.70697,2016,Happy
Paraguay,0.46235,0.89373,0.25296,0.07396,5.538,0.58295,1.11111,2016,Happy
Romania,0.36712,1.1697,0.12889,0.00679,5.528,0.67602,0.72803,2016,Happy
Estonia,0.41511,1.27964,0.08423,0.18519,5.517,0.68098,1.05163,2016,Happy
Jamaica,0.43597,0.89333,0.22245,0.04294,5.51,0.59469,0.96372,2016,Happy
Croatia,0.23907,1.18649,0.18434,0.04002,5.488,0.70524,0.60809,2016,Happy
Hong Kong,0.48079,1.5107,0.40097,0.31647,5.458,0.95277,0.87021,2016,Happy
Somalia,0.56778,0,0.27225,0.3118,5.44,0.11466,0.33613,2016,Happy
Kosovo,0.14396,0.90145,0.27992,0.06547,5.401,0.54,0.66062,2016,Happy
Turkey,0.23889,1.16492,0.04707,0.12348,5.389,0.64718,0.87717,2016,Happy
Indonesia,0.39237,0.95104,0.56521,0.00322,5.314,0.49374,0.87625,2016,Happy
Jordan,0.36023,0.99673,0.14262,0.13297,5.303,0.60712,0.86216,2016,Happy
Azerbaijan,0.35327,1.12373,0.0564,0.17914,5.291,0.54504,0.76042,2016,Happy
Philippines,0.54854,0.81217,0.21674,0.11757,5.279,0.47036,0.87877,2016,Happy
China,0.44012,1.0278,0.04959,0.02745,5.245,0.73561,0.79381,2016,Happy
Bhutan,0.46074,0.8527,0.48546,0.1616,5.196,0.49759,0.90836,2016,Happy
Kyrgyzstan,0.40212,0.56044,0.38432,0.04762,5.185,0.55449,0.95434,2016,Happy
Serbia,0.15718,1.03437,0.20737,0.04339,5.177,0.6458,0.81329,2016,Happy
Bosnia and Herzegovina,0.09511,0.93383,0.29889,0,5.163,0.70766,0.64367,2016,Happy
Montenegro,0.15111,1.07838,0.17191,0.12721,5.161,0.63533,0.74173,2016,Happy
Dominican Republic,0.52259,1.02787,0.21286,0.12372,5.155,0.57669,0.99496,2016,Happy
Morocco,0.25646,0.84058,0.04053,0.08404,5.151,0.59471,0.38595,2016,Happy
Hungary,0.1977,1.24142,0.099,0.04472,5.145,0.67608,0.93164,2016,Happy
Pakistan,0.14622,0.68816,0.31185,0.1388,5.132,0.40306,0.26135,2016,Happy
Lebanon,0.26228,1.12268,0.23693,0.03061,5.129,0.76171,0.64184,2016,Happy
Portugal,0.44727,1.27607,0.11691,0.01521,5.123,0.79363,0.94367,2016,Happy
Macedonia,0.27668,1.0193,0.23507,0.07047,5.121,0.64738,0.78236,2016,Happy
Vietnam,0.55954,0.74037,0.25075,0.11556,5.061,0.66157,0.79117,2016,Happy
Somaliland Region,0.3913,0.25558,0.51479,0.36794,5.057,0.33108,0.75862,2016,Happy
Tunisia,0.23553,0.97724,0.03936,0.0817,5.045,0.59577,0.43165,2016,Happy
Greece,0.05822,1.24886,0,0.04127,5.033,0.80029,0.75473,2016,Happy
Tajikistan,0.43408,0.48835,0.25998,0.13509,4.996,0.53119,0.75602,2016,Happy
Mongolia,0.35972,0.98853,0.34539,0.03285,4.907,0.55469,1.08983,2016,Happy
Laos,0.52168,0.68042,0.43079,0.22423,4.876,0.38291,0.5497,2016,Happy
Nigeria,0.27854,0.75216,0.23219,0.0305,4.875,0.05108,0.64498,2016,Happy
Honduras,0.26755,0.69429,0.2044,0.06906,4.871,0.58383,0.75596,2016,Happy
Iran,0.22544,1.11758,0.38538,0.0557,4.813,0.64232,0.38857,2016,Happy
Zambia,0.42662,0.61202,0.17866,0.11479,4.795,0.23573,0.6376,2016,Happy
Nepal,0.37012,0.44626,0.3816,0.07008,4.793,0.50073,0.69699,2016,Happy
Palestinian Territories,0.17744,0.67024,0.11154,0.10613,4.754,0.56844,0.71629,2016,Happy
Albania,0.31866,0.9553,0.1684,0.05301,4.655,0.73007,0.50163,2016,Happy
Bangladesh,0.39778,0.54177,0.19132,0.12583,4.643,0.52989,0.24749,2016,Happy
Sierra Leone,0.30685,0.36485,0.23897,0.08196,4.635,0,0.628,2016,Happy
Iraq,0.24856,1.07474,0.19589,0.13636,4.575,0.51076,0.59205,2016,Happy
Namibia,0.48614,0.93287,0.07795,0.10398,4.574,0.34745,0.70362,2016,Happy
Cameroon,0.42736,0.52497,0.2268,0.06126,4.513,0.12698,0.62542,2016,Happy
Ethiopia,0.36703,0.29283,0.29522,0.1717,4.508,0.34578,0.37932,2016,Happy
South Africa,0.42483,1.02416,0.13656,0.08415,4.459,0.18611,0.96053,2016,Happy
Sri Lanka,0.50817,0.97318,0.46978,0.07964,4.415,0.62007,0.84783,2016,Happy
India,0.40285,0.74036,0.25028,0.08722,4.404,0.45091,0.29247,2016,Happy
Myanmar,0.42692,0.34112,0.81971,0.20243,4.395,0.3988,0.69981,2016,Happy
Egypt,0.18847,0.95395,0.12706,0.10393,4.362,0.52116,0.49813,2016,Happy
Armenia,0.14037,0.86086,0.07793,0.03616,4.36,0.64083,0.62477,2016,Happy
Kenya,0.40576,0.52267,0.41328,0.06686,4.356,0.30147,0.7624,2016,Happy
Ukraine,0.12859,0.87287,0.20363,0.01829,4.324,0.58628,1.01413,2016,Happy
Ghana,0.40973,0.63107,0.21203,0.0326,4.276,0.29681,0.49353,2016,Happy
Congo (Kinshasa),0.15602,0.05661,0.25458,0.06075,4.272,0.188,0.80676,2016,Happy
Georgia,0.32461,0.83792,0.06786,0.3188,4.252,0.64035,0.19249,2016,Happy
Congo (Brazzaville),0.37938,0.77109,0.12077,0.09753,4.236,0.28212,0.47799,2016,Happy
Senegal,0.31056,0.44314,0.19103,0.11681,4.219,0.40457,0.77416,2016,Happy
Bulgaria,0.21219,1.11306,0.12793,0.00615,4.217,0.67806,0.92542,2016,Happy
Mauritania,0.1268,0.61391,0.22686,0.17955,4.201,0.28639,0.84142,2016,Happy
Zimbabwe,0.25429,0.35041,0.18503,0.08582,4.193,0.1595,0.71478,2016,Happy
Malawi,0.4143,0.08709,0.30968,0.07564,4.156,0.29364,0.147,2016,Happy
Sudan,0,0.63069,0.18077,0.10039,4.139,0.29759,0.81928,2016,Happy
Gabon,0.28098,1.15851,0.06244,0.09314,4.121,0.3494,0.72368,2016,Happy
Mali,0.27544,0.31292,0.21064,0.13647,4.073,0.16347,0.86333,2016,Happy
Haiti,0.12072,0.34097,0.47958,0.14476,4.028,0.27494,0.29561,2016,Happy
Botswana,0.44089,1.09426,0.12425,0.10769,3.974,0.34752,0.89186,2016,NotHappy
Comoros,0.15412,0.27509,0.1827,0.18437,3.956,0.29981,0.60323,2016,NotHappy
